date,value
2025-07-29,191126.13462455122
2025-07-30,191126.13462455122
2025-07-31,191126.13462455122
2025-08-01,191126.13462455122
2025-08-04,191126.13462455122
2025-08-05,191126.13462455122
2025-08-06,191126.13462455122
2025-08-07,191126.13462455122
2025-08-08,190614.16422193404
2025-08-11,192166.41422193404
2025-08-12,191482.86148755904
2025-08-13,192406.50601880904
2025-08-14,192490.16422193404
2025-08-18,194209.70328443404
2025-08-19,194411.36755846138
2025-08-20,194411.36755846138
2025-08-21,194411.36755846138
2025-08-22,194411.36755846138
2025-08-25,194411.36755846138
2025-08-26,194411.36755846138
2025-08-28,194411.36755846138
2025-08-29,193898.06174076998
2025-09-01,195285.46994389498
2025-09-02,194967.31174076998
2025-09-03,195915.46994389498
2025-09-04,196050.21994389498
2025-09-05,196097.11447514498
2025-09-08,196322.16720951998
2025-09-09,196990.31174076998
2025-09-10,197721.81174076998
2025-09-11,197948.61447514498
2025-09-12,198708.11447514498
2025-09-15,198394.50900639498
2025-09-16,199583.81174076998
2025-09-17,199690.283848645
2025-09-18,199690.283848645
2025-09-19,199690.283848645
2025-09-22,199690.283848645
2025-09-23,199690.283848645
2025-09-24,199690.283848645
2025-09-25,199690.283848645
2025-09-26,199172.1899992622
2025-09-29,199033.5982023872
2025-09-30,198866.9927336372
2025-10-01,200443.4009367622
2025-10-03,200849.0454680122
2025-10-06,202132.8482023872
2025-10-07,202347.4009367622
2025-10-08,201912.3482023872
2025-10-09,202861.9009367622
2025-10-10,203586.7427336372
2025-10-13,203180.7427336372
2025-10-14,202607.7954680122
2025-10-15,203854.1509367622
2025-10-16,205686.4009367622
2025-10-17,206558.2427336372
2025-10-20,206949.00384828955
2025-10-21,206949.00384828955
2025-10-23,206949.00384828955
2025-10-24,206949.00384828955
2025-10-27,206949.00384828955
2025-10-28,206949.00384828955
2025-10-29,206949.00384828955
2025-10-30,206949.00384828955
2025-10-31,206949.00384828955
2025-11-03,206949.00384828955
2025-11-04,206411.094822981
2025-11-06,205795.436619856
2025-11-07,205673.647557356
2025-11-10,206247.989354231
2025-11-11,207092.186619856
2025-11-12,208358.147557356
2025-11-13,208381.594822981
2025-11-14,208597.897557356
2025-11-17,209321.686619856
2025-11-18,208597.897557356
2025-11-19,209596.094822981
2025-11-20,210572.594822981
2025-11-21,209704.594822981
2025-11-24,208944.042088606
2025-11-25,208421.147557356
2025-11-26,210114.70311516066
2025-11-27,210114.70311516066
2025-11-28,210114.70311516066
2025-12-01,210114.70311516066
2025-12-02,210114.70311516066
2025-12-03,210114.70311516066
2025-12-04,210114.70311516066
2025-12-05,210114.70311516066
2025-12-08,210114.70311516066
2025-12-09,210114.70311516066
2025-12-10,210114.70311516066
2025-12-11,210114.70311516066
2025-12-12,210114.70311516066
2025-12-15,210114.70311516066
2025-12-16,209571.27898196926
2025-12-17,209280.43718509426
2025-12-18,209259.43718509426
2025-12-19,210315.38445071926
2025-12-22,211757.38445071926
2025-12-23,211790.63445071926
2025-12-24,211545.27898196926
2025-12-26,210846.68718509426
2025-12-29,210145.27898196926
2025-12-30,210122.52898196926
2025-12-31,211457.77898196926
2026-01-01,211027.72567039894
2026-01-02,211027.72567039894
2026-01-05,211027.72567039894
2026-01-06,211027.72567039894
2026-01-07,211027.72567039894
2026-01-08,211027.72567039894
2026-01-09,211027.72567039894
2026-01-12,211027.72567039894
2026-01-13,211027.72567039894
2026-01-14,211027.72567039894
2026-01-16,211027.72567039894
2026-01-19,211027.72567039894
2026-01-20,211027.72567039894
2026-01-21,210499.06596539897
2026-01-22,211425.86869977397
2026-01-23,209737.11869977397
2026-01-27,210624.36869977397
2026-01-28,211795.81596539897
2026-01-29,212328.86869977397
2026-01-30,211641.11869977397
2026-02-02,210015.36869977397
2026-02-03,214489.42143414897
2026-02-04,214828.56596539897
2026-02-05,213896.17143414897
2026-02-06,214252.46049664897
2026-02-09,215467.67143414897
2026-02-10,215942.61869977397
2026-02-11,216073.51323102397
2026-02-12,214505.37061384428
2026-02-13,214505.37061384428
2026-02-16,214505.37061384428
2026-02-17,214505.37061384428
2026-02-18,214505.37061384428
2026-02-19,214505.37061384428
2026-02-20,214505.37061384428
2026-02-23,214505.37061384428
2026-02-24,214505.37061384428
2026-02-25,214505.37061384428
2026-02-26,214505.37061384428
2026-02-27,214505.37061384428
2026-03-02,214505.37061384428
2026-03-04,214505.37061384428
2026-03-05,214505.37061384428
2026-03-06,214505.37061384428
2026-03-09,214505.37061384428
2026-03-10,214505.37061384428
2026-03-11,214505.37061384428
2026-03-12,214505.37061384428
2026-03-13,214505.37061384428
2026-03-16,214505.37061384428
2026-03-17,214505.37061384428
2026-03-18,214505.37061384428
2026-03-19,214505.37061384428
2026-03-20,214505.37061384428
